V4_ID,v3_ID,Gene_symbol,full_name,v4_source,v3_source,Chromosome,Start,End,
Zm00001d044122,GRMZM2G026930,a1,anthocyaninless1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr3,"219,867,858","219,869,656",
Zm00001d014914,GRMZM2G345717,a2,anthocyaninless2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr5,"68,025,894","68,027,081",
Zm00001d011438,GRMZM2G013726,a4,anthocyaninless4,Gene model association inferred from similarity with B73 RefGen_v3 gene models,Classical Gene,Chr8,"150,482,983","150,484,456",
Zm00001d002326,GRMZM5G817886,aaa1,adenosylmethionine aminotransferase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr2,"10,330,318","10,335,434",
Zm00001d044916,GRMZM2G120302,aap1,acylaminoacyl-peptidase1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,,Chr9,"7,175,186","7,182,490",
Zm00001d029577,GRMZM2G068701,aas1,auxin amido synthetase1,,,Chr1,"77,398,644","77,401,233",
Zm00001d008957,GRMZM2G001421,aas10,auxin amido synthetase10,,,Chr8,"27,190,533","27,195,349",
Zm00001d009714,GRMZM2G162413,aas11,auxin amido synthetase11,,,Chr8,"77,386,882","77,391,860",
Zm00001d010697,GRMZM2G366873,aas12,auxin amido synthetase12,,,Chr8,"124,866,876","124,869,473",
Zm00001d011377,GRMZM2G091276,aas13,auxin amido synthetase13,,,Chr8,"148,947,109","148,951,347",
Zm00001d006753,GRMZM2G378106,aas2,auxin amido synthetase2,,,Chr2,"215,957,135","215,959,705",
Zm00001d007395,GRMZM2G410567,aas3,auxin amido synthetase3,,,Chr2,"230,685,598","230,692,435",
Zm00001d039345,GRMZM2G061005,aas4,auxin amido synthetase4,,,Chr3,"2,191,276","2,193,951",
Zm00001d039346,GRMZM2G060991,aas5,auxin amido synthetase5,,,Chr3,"2,195,056","2,197,943",
Zm00001d043244,GRMZM2G061515,aas6,auxin amido synthetase6,,,Chr3,"193,000,729","193,003,186",
Zm00001d043350,GRMZM2G033359,aas7,auxin amido synthetase7,,,Chr3,"197,409,841","197,413,468",
Zm00001d022017,GRMZM2G053338,aas8,auxin amido synthetase8,,,Chr7,"168,160,113","168,162,604",
Zm00001d022473,GRMZM2G414460,aas9,auxin amido synthetase9,,,Chr7,"178,322,344","178,329,811",
Zm00001d023529,GRMZM2G136910,aasr1,abscisic acid stress ripening1,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr10,"8,781,222","8,782,218",
Zm00001d035409,GRMZM2G009792,aasr10,abscisic acid stress ripening10,,,Chr6,"24,606,673","24,607,624",
Zm00001d004843,GRMZM5G854138,aasr2,abscisic acid stress ripening2,Gene model association inferred from similarity with B73 RefGen_v3 gene models,from Virlouvet et al 2011,Chr2,"143,855,973","143,857,138",
Zm00001d003712,GRMZM5G806182,aasr3,abscisic acid stress ripening3,Gene model association inferred from similarity with B73 RefGen_v3 gene models,"from Zhang et al., 2018",Chr2,"55,894,819","55,896,267",
